trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.01, 'e': 0.6636502501363194}",25,0,-83.4381161261251,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
43,False,"{'a': 0.01, 'e': 0.6570468198150567}",25,19,12.462729856515637,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.01, 'e': 0.6505090947233165}",35,0,-227.85637446736033,"{0: 20, 1: 5, 2: 5, 3: 1, 4: 4}",0
45,False,"{'a': 0.01, 'e': 0.6440364210831414}",25,0,-79.86958155936713,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
46,False,"{'a': 0.01, 'e': 0.6376281516217733}",30,0,-86.06744904176311,"{0: 25, 1: 0, 2: 2, 3: 1, 4: 2}",0
47,False,"{'a': 0.01, 'e': 0.631283645506926}",20,0,-107.08859173370185,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
48,False,"{'a': 0.01, 'e': 0.6250022682827008}",30,13,-19.159858364146533,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
49,False,"{'a': 0.01, 'e': 0.6187833918061408}",20,9,-64.44532221655015,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 2}",1
50,False,"{'a': 0.01, 'e': 0.6126263941844161}",20,9,-62.230263614903855,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 2}",1
51,False,"{'a': 0.01, 'e': 0.6065306597126334}",20,0,-56.78136634292268,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
52,False,"{'a': 0.01, 'e': 0.6004955788122659}",25,0,-6.5163842799993805,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
53,False,"{'a': 0.01, 'e': 0.5945205479701944}",30,16,-35.97107547577691,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
54,False,"{'a': 0.01, 'e': 0.5886049696783552}",20,0,-83.87178037408205,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
55,False,"{'a': 0.01, 'e': 0.5827482523739896}",20,0,-21.71607662441271,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
56,False,"{'a': 0.01, 'e': 0.5769498103804866}",20,12,1.5115274352156567,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.01, 'e': 0.5712090638488149}",30,8,-92.48011351407354,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 1}",1
