trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
59,False,"{'a': 0.3, 'e': 0.4099999999999995}",25,8,-36.26928163043915,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
60,False,"{'a': 0.3, 'e': 0.39999999999999947}",25,0,-60.16210033593813,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
61,False,"{'a': 0.3, 'e': 0.38999999999999946}",25,0,-3.4090862339561725,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
62,False,"{'a': 0.3, 'e': 0.37999999999999945}",30,19,-1.7046387329807207,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
63,False,"{'a': 0.3, 'e': 0.36999999999999944}",25,0,19.09470061117237,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
64,False,"{'a': 0.3, 'e': 0.35999999999999943}",35,0,-99.35006527754007,"{0: 30, 1: 1, 2: 0, 3: 1, 4: 3}",0
65,False,"{'a': 0.3, 'e': 0.3499999999999994}",20,12,16.612625232083438,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.3, 'e': 0.3399999999999994}",30,21,2.9863799135911093,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
67,False,"{'a': 0.3, 'e': 0.3299999999999994}",30,13,19.729392738657538,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.3, 'e': 0.3199999999999994}",25,16,17.67833094441208,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.3, 'e': 0.3099999999999994}",30,14,18.19102086312313,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.3, 'e': 0.2999999999999994}",30,17,13.928105141990784,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
71,False,"{'a': 0.3, 'e': 0.28999999999999937}",35,0,-65.70454222843935,"{0: 30, 1: 0, 2: 3, 3: 0, 4: 2}",0
72,False,"{'a': 0.3, 'e': 0.27999999999999936}",25,11,-57.61665588541048,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
73,False,"{'a': 0.3, 'e': 0.26999999999999935}",20,3,28.71604638432466,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.3, 'e': 0.25999999999999934}",20,0,22.467879628095453,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
75,False,"{'a': 0.3, 'e': 0.24999999999999933}",20,0,27.56707226637747,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
76,False,"{'a': 0.3, 'e': 0.23999999999999932}",25,0,-36.853443806366684,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
77,False,"{'a': 0.3, 'e': 0.22999999999999932}",20,0,22.859555223908433,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
